Hours,dni,dhi,ghi,wind_speed,temp_air
2132.5,716.44,141.72,481.035,3.77333,13.365
2133.5,380.563,178.035,317.205,3.46333,13.5783
2134.5,34.9983,83.0283,87.095,3.28167,13.0283
2135.5,0.03,13.1233,10.3817,5.25167,11.9167
2136.5,0,0.0883333,0,3.41833,11.0483
2137.5,0.00166667,0.158333,0,2.075,10.0967
2138.5,0,0.233333,0,5.06833,8.14667
2139.5,0.458333,0.103333,0,3.52833,7.63
2140.5,0,0.1,0,2.56833,7.38333
2141.5,0.00833333,0.14,0,1.825,7.20667
2142.5,0.196667,0.173333,0,2.14833,7.31
2143.5,0.275,0.0216667,0,2.35333,7.69
2144.5,0.146667,0.18,0,2.19833,7.64667
2145.5,0.405,0.0566667,0,1.105,7.645
2146.5,0.493333,0.115,0,1.31,7.55333
2147.5,1.03167,4.39,1.17333,0.69,7.66833
2148.5,1.03667,22.9833,18.45,0.888333,7.67833
2149.5,1.265,48.1017,43.5383,1.91667,7.64
2150.5,0.63,59.7683,55.705,2.25167,7.50167
2151.5,1.37,93.0467,89.1383,1.85667,7.58
2152.5,0.786667,83.37,79.495,2.36667,7.84
2153.5,0.481667,67.11,63.1783,3.13833,7.86333
2154.5,0.575,49.39,45.1917,2.58833,7.85833
2155.5,1.88,49.405,45.4,3.01333,7.61
2156.5,2.02,50.2333,45.715,2.63167,7.61
2157.5,1.29333,36.6067,32.035,2.15167,7.61833
2158.5,0.291667,14.4833,10.3183,2.48333,7.295
2159.5,0.163333,2.34,0.398333,2.42333,7.03167
2160.5,0.393333,0.0133333,0,2.55,6.735
2161.5,0.431667,0,0,2.555,6.545
2162.5,0.616667,0.0183333,0,1.91167,6.52667
2163.5,0.305,0.0216667,0,2.08333,6.27833
2164.5,0.478333,0.0133333,0,1.69,6.03667
2165.5,0.58,0.015,0,1.36333,5.88167
2166.5,0.663333,0.02,0,0.843333,5.77833
2167.5,0.423333,0.0233333,0,1.25833,5.57667
2168.5,1.14167,0.0333333,0,1.39833,5.42667
2169.5,1.11833,0.02,0,1.02833,5.4
2170.5,0.958333,0.491667,0.0416667,0.55,5.46333
2171.5,1.075,16.2083,14.6783,0.941667,5.48667
2172.5,1.98667,57.89,57.23,1.365,5.87833
2173.5,2.21333,190.088,189.227,4.24667,6.495
2174.5,57.345,337.84,374.958,4.87167,7.215
2175.5,220.805,444.163,617.113,3.94667,8.12333
2176.5,195.023,508.377,678.927,3.31333,9.68833
2177.5,462.445,365.043,749.212,2.64333,11.5367
2178.5,285.772,372.735,607.752,2.17833,13.3283
2179.5,8.74333,230.635,238.185,1.465,13.9867
